Badge#;Badge Name;Badge Summary;Badge Category;Badge Give Type;Date Activated;Date Retired;Notes;Image website address
101;Thumbs Up;Gave meaningful comment(s) during class time;3;Student-Peer;7-25-16;;;http://www.oc.edu/academics/graduate/theology/images/digital-badge-images/student-peer-badges/animated-gifs/101%20Thumbs%20Up.gif
102;Deep Thinker;Prompted deep thought and/or discussion during class time;3;Student-Peer;7-25-16;;;http://www.oc.edu/academics/graduate/theology/images/digital-badge-images/student-peer-badges/animated-gifs/102%20Deep%20Thinker.gif
103;Mighty Mentor;Gave me valued advice on academic, ministry, or personal matters;3;Student-Peer;7-25-16;;;http://www.oc.edu/academics/graduate/theology/images/digital-badge-images/student-peer-badges/animated-gifs/103%20Mighty%20Mentor.gif
104;Super Proofer;Proofread my paper for technical errors;3;Student-Peer;7-25-16;;;http://www.oc.edu/academics/graduate/theology/images/digital-badge-images/student-peer-badges/animated-gifs/104%20Super%20Proofer.gif
105;Study Buddy;Helped me study for an exam or prep for presentation;3;Student-Peer;7-25-16;;;http://www.oc.edu/academics/graduate/theology/images/digital-badge-images/student-peer-badges/animated-gifs/105%20Study%20Buddy.gif
106;Cool Critique;Critiqued my assignment, giving helpful and timely feedback on overall work;3;Student-Peer;7-25-16;;;http://www.oc.edu/academics/graduate/theology/images/digital-badge-images/student-peer-badges/animated-gifs/106%20Cool%20Critique.gif
107;Lunch Time Theologian;Talked with me about theological or ministry matters over lunch;3;Student-Peer;7-25-16;;;http://www.oc.edu/academics/graduate/theology/images/digital-badge-images/student-peer-badges/animated-gifs/107%20Lunch%20Time%20Theologian.gif
108;Coffee Cup Theologian;Talked with me about theological or ministry matters over coffee;3;Student-Peer;7-25-16;;;http://www.oc.edu/academics/graduate/theology/images/digital-badge-images/student-peer-badges/animated-gifs/108%20Coffee%20Cup%20Theologian.gif
109;Prayer Partner;Prayed with me one-on-one or in a small group;3;Student-Peer;7-25-16;;;http://www.oc.edu/academics/graduate/theology/images/digital-badge-images/student-peer-badges/animated-gifs/109%20Prayer%20Partner.gif
110;Barnabus;Provided me with needed encouragement;3;Student-Peer;7-25-16;;;http://www.oc.edu/academics/graduate/theology/images/digital-badge-images/student-peer-badges/animated-gifs/110%20Barnabus.gif
201;Book Worm;Read 100% of assigned class readings for the week;3;Student-Self;7/25/16;;x;http://www.oc.edu/academics/graduate/theology/images/digital-badge-images/student-self-badges/animated-gif-images/201%20Book%20Worm.gif
202;Project Planner;Made a plan/schedule for completing large semester projects;3;Student-Self;7/25/16;;x;http://www.oc.edu/academics/graduate/theology/images/digital-badge-images/student-self-badges/animated-gif-images/202%20Project%20Planner.gif
203;In the Word;Read the Bible for personal, non-academic devotion 5 or more days this week;3;Student-Self;7/25/16;;x;http://www.oc.edu/academics/graduate/theology/images/digital-badge-images/student-self-badges/animated-gif-images/203%20In%20the%20Word.gif
204;Overcomer;Overcame major personal obstacles this week and stayed on track with school work;3;Student-Self;7/25/16;;x;http://www.oc.edu/academics/graduate/theology/images/digital-badge-images/student-self-badges/animated-gif-images/204%20Overcomer.gif
205;Book Review;Had a book review published in a scholarly source;3;Student-Self;7/25/16;;x;http://www.oc.edu/academics/graduate/theology/images/digital-badge-images/student-self-badges/animated-gif-images/205%20Book%20Review%20Published.gif
206;Article Published;Authored an academic article  that was published in a peer-reviewed journal;3;Student-Self;7/25/16;;x;http://www.oc.edu/academics/graduate/theology/images/digital-badge-images/student-self-badges/animated-gif-images/206%20Article%20Published.gif
207;Co-Author;Worked with a faculty member to publish an academic work;3;Student-Self;7/25/16;;;http://www.oc.edu/academics/graduate/theology/images/digital-badge-images/student-self-badges/animated-gif-images/207%20Co-Author.gif
208;Sunday Nite Special;Worked on assignments in the OC library on a Sunday night (1 hr minimum);3;Student-Self;7/25/16;;x;http://www.oc.edu/academics/graduate/theology/images/digital-badge-images/student-self-badges/animated-gif-images/208%20Sunday%20Night%20Special.gif
209;Night Owl;Worked on assignments in the OC library until closing (1 hour minimum);3;Student-Self;7/25/16;;x;http://www.oc.edu/academics/graduate/theology/images/digital-badge-images/student-self-badges/animated-gif-images/209%20Night%20Owl.gif
301;Gold Star;Good work in class this week;3;Student-Self;7-25-16;;;http://www.oc.edu/academics/graduate/theology/images/digital-badge-images/faculty-student-badges/animated-gif-images/301%20Gold%20Star.gif
